Titre,Entreprise,Localisation,Date,Lien,Domaine
Technicien Test en Électronique - Ariana,VIGNAL 2 TUNISIE,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-test-electronique-ariana-303292,Électrique
Technicien Test en Électronique - Cité Ettadhamen,VIGNAL 2 TUNISIE,Ariana - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-test-electronique-cite-ettadhamen-304280,Électrique
Technicien Maintenance - La Sokra,GRAPHIKA,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-sokra-292410,Électrique
Offre de Stage – Énergie Photovoltaïque / Marketing & Communication - El Mnihla,VOLTOGREEN,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/offre-stage-energie-photovoltaique-marketing-communication-el-mnihla-297329,Électrique
Technicien Électricité – Maintenance Transformateurs et Condensateurs - Ariana,ST3E,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-electricite-maintenance-transformateurs-condensateurs-ariana-289268,Électrique
Assistante Administrative - Mornag,LA TUNISO FRANCAISE D'ECLAIRAGE,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-mornag-299849,Électrique
Technicien Maintenance - Sfax,INNO-ENGINEERING,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-sfax-307948,Électrique
Commercial - Megrine,LUMTEC,Ariana - Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-megrine-309833,Électrique
Commercial Terrain - Sousse,LUMTEC,Mahdia - Monastir & Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-terrain-sousse-309839,Électrique
Ingénieur(e) Conseil Électricité et Fluides (MEP) - Tunis,PEP ENGINEERING,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieure-conseil-electricite-fluides-mep-tunis-302553,Électrique
Technico Commercial – Lustres en Bois (H/F) - Tunis,GBN DECO,Tunis & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-lustres-bois-hf-tunis-283390,Électrique
Agent Back Office - Megrine,LUMTEC,Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-back-office-megrine-309810,Électrique
Technicien (ne) Informatique et Moyens Généraux H/F - La Goulette,SEGITEC,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-ne-informatique-moyens-generaux-hf-goulette-306834,Électrique
Assistant(e) Administratif et Financier,HELVETAS,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administratif-financier-188516,Gestion-Comptabilité-Finance
Contrôleur de Gestion - Sfax-route de Agareb,LINPACK,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/controleur-gestion-sfax-route-agareb-232092,Gestion-Comptabilité-Finance
Aide Comptable - Sousse,STE VISION LED INDUSTRY,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-comptable-sousse-265784,Gestion-Comptabilité-Finance
"Aide-Comptable / Aide Financière - Ariana,Manouba,Ben Arous,Tunis",KARMA SOLUTION,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-comptable-aide-financiere-arianamanoubaben-aroustunis-272983,Gestion-Comptabilité-Finance
Assistante en Comptabilité - Monastir,RUSPINA PAPIER,Monastir,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-comptabilite-monastir-283783,Gestion-Comptabilité-Finance
Assistante Administrative Comptable - Mornaguia,KOMETAL,Manouba,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-comptable-mornaguia-283932,Gestion-Comptabilité-Finance
Responsable de la Facturation - Hammamet,SITPEC,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-facturation-hammamet-285191,Gestion-Comptabilité-Finance
"Assistante Commerciale - Ariana, Sousse, Nabeul",PLATEFORME DU VERRE,Ariana - Ben Arous - Kairouan - Manouba - Nabeul - Sousse &...,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-commerciale-ariana-sousse-nabeul-285860,Gestion-Comptabilité-Finance
Comptable Expérimenté(e) - Monastir,HATEM ENNOURI,Monastir,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-experimentee-monastir-286955,Gestion-Comptabilité-Finance
Comptable Expérimenté(e) - Sfax,HATEM ENNOURI,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-experimentee-sfax-286959,Gestion-Comptabilité-Finance
Assistant(e) Financier(e) - Tunis Manar,ADMISSION,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-financiere-tunis-manar-287760,Gestion-Comptabilité-Finance
Assistant(e) de Direction - Tunis et Sfax,ADMISSION,Sfax & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-direction-tunis-sfax-287886,Gestion-Comptabilité-Finance
Comptable Confirmée - à Distance,PERSPECTIVES,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-confirmee-distance-287912,Gestion-Comptabilité-Finance
Comptable - Tunis,LIBRA TAX & ACCOUNTANCY,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-tunis-289474,Gestion-Comptabilité-Finance
Comptable - Manouba,COMPTACOM,Ariana - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-manouba-289520,Gestion-Comptabilité-Finance
Aide Comptable - les Berges du Lac,LAC RENT A CAR,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-comptable-berges-lac-290169,Gestion-Comptabilité-Finance
Aide Gestionnaire - les Berges du Lac,LAC RENT A CAR,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-gestionnaire-berges-lac-290173,Gestion-Comptabilité-Finance
Comptable - Sfax,COMPTOIR SANITAIRE SFAXIEN,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-sfax-291607,Gestion-Comptabilité-Finance
Coordinateur Administratif Sénior - Les Berges Du Lac,COFICERT,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/coordinateur-administratif-senior-berges-lac-292076,Gestion-Comptabilité-Finance
Assistant(e) de direction polyvalent(e) - Sfax,IMPACTDEV,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-direction-polyvalente-sfax-292595,Gestion-Comptabilité-Finance
Comptable - LAC II,ASSISTEL,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-lac-ii-292924,Gestion-Comptabilité-Finance
Technicien Supérieur Electromécanique  - Sfax,SOCIETE DE TRANSFORMATION TOILE ET PLASTIQUE -STTP,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-superieur-electromecanique-sfax-293269,Gestion-Comptabilité-Finance
Responsable Magasin - Sfax,SOCIETE DE TRANSFORMATION TOILE ET PLASTIQUE -STTP,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-magasin-sfax-293287,Gestion-Comptabilité-Finance
Responsable de la gestion du stock - Sidi-Thabet Ariana,VETOCHIRURGICAL,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-gestion-stock-sidi-thabet-ariana-293506,Gestion-Comptabilité-Finance
Caissier - Sfax,SHOPPING CLUB,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/caissier-sfax-294216,Gestion-Comptabilité-Finance
Responsable Ressources Humaines - Zone Industrielle Sidi El Heni,STIT,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-ressources-humaines-zone-industrielle-sidi-el-heni-294678,Gestion-Comptabilité-Finance
Data Steward Intern - Remote,CEDAR ROSE INT. SERVICES LTD,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/data-steward-intern-remote-296473,Gestion-Comptabilité-Finance
Assistant Pédagogique H/F - Menzah 4,ELITE CONSEIL,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistant-pedagogique-hf-menzah-4-296696,Gestion-Comptabilité-Finance
Responsable Comptabilité et Achat - Nabeul,SIER,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-comptabilite-achat-nabeul-296860,Gestion-Comptabilité-Finance
Employée de Bureau - Tunis,AGENT D'ASSURANCE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/employee-bureau-tunis-297508,Gestion-Comptabilité-Finance
Accountant Executive - Charguia 2,MYLERZ INTERNATIONAL TUNISIE,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/accountant-executive-charguia-2-297730,Gestion-Comptabilité-Finance
Conseiller(ère) Immobilier Terrain - Sousse,TECNOCASA KHZEMA,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/conseillerere-immobilier-terrain-sousse-297835,Gestion-Comptabilité-Finance
Technicienne en Assurance - Berges Du Lac1..Tunis,AGENT D'ASSURANCE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicienne-assurance-berges-lac1tunis-298254,Gestion-Comptabilité-Finance
Assistante Administrative - Mornag,LA TUNISO FRANCAISE D'ECLAIRAGE,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-mornag-299849,Gestion-Comptabilité-Finance
Agent de Bureau - Tunis,REFERENCE PRINT,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-bureau-tunis-302821,Gestion-Comptabilité-Finance
Comptable Confirmé(e) - Messaadine-Sousse,SGE,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-confirmee-messaadine-sousse-304295,Gestion-Comptabilité-Finance
Aide Comptable - Akouda Sousse,SOCIÉTÉ EL OUKHOUA D'INFRASTRUCTURE & TRAVAUX SOIT,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-comptable-akouda-sousse-307409,Gestion-Comptabilité-Finance
Chef Atelier - Tunis,ONE DAY DECO,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chef-atelier-tunis-308422,Gestion-Comptabilité-Finance
Chargé(e) / Conseiller(ère) Clientèle en Assurances - Tunis,GAT ASSURANCES,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-conseillerere-clientele-assurances-tunis-308938,Gestion-Comptabilité-Finance
Agent Back Office - Megrine,LUMTEC,Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-back-office-megrine-309810,Gestion-Comptabilité-Finance
Technicien en Maintenance Informatique - Sousse,LAB-IT,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-informatique-sousse-293299,Informatique
Technicienne en Informatique - Sousse,LAB-IT,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicienne-informatique-sousse-290580,Informatique
Responsable Informatique - Sousse,GROUPE MÉDICAL LES OLIVIERS,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-informatique-sousse-301864,Informatique
Technicien (ne) Informatique et Moyens Généraux H/F - La Goulette,SEGITEC,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-ne-informatique-moyens-generaux-hf-goulette-306834,Informatique
Assistante - Tunis Manar 2,SUFFETULA INFORMATIQUE ET IMPRESSION,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-tunis-manar-2-287739,Informatique
Responsable de la gestion du stock - Sidi-Thabet Ariana,VETOCHIRURGICAL,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-gestion-stock-sidi-thabet-ariana-293506,Informatique
Accountant Executive - Charguia 2,MYLERZ INTERNATIONAL TUNISIE,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/accountant-executive-charguia-2-297730,Informatique
Assistante de Direction - Msaken,CENTRE DE FORMATION CPN,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-direction-msaken-296695,Informatique
Développeur .NET / C# - Ariana,SPARK TALENT ALLIANCE,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-net-c-ariana-282147,Informatique
Ingénieur en Systèmes & Sécurité - Tunis,ADVANCIA IT SYSTEM,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-systemes-securite-tunis-293348,Informatique
Développeur Web - Sfax,SMDI,Sfax & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-web-sfax-302341,Informatique
Stagiaire PFE Fullstack – Développement Web - La Marsa,XTECH,Tunis & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/stagiaire-pfe-fullstack-developpement-web-marsa-306902,Informatique
Assistante Administrative et Commerciale - Sfax,SRT,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-commerciale-sfax-284942,Informatique
Commercial – Formations & Services - Tunis,ADVANCIA IT SYSTEM,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-formations-services-tunis-292608,Informatique
Secrétaire Administrative - Sfax,SOCIÉTÉ LOUKIL CONTROLE,Sfax & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/secretaire-administrative-sfax-306147,Informatique
Data Analyst - Tunis,LIBRA TAX & ACCOUNTANCY,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/data-analyst-tunis-289061,Informatique
Stagiaire PFE – Business Development / Marketing / Sales Strategy - La Marsa,XTECH,Tunis & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/stagiaire-pfe-business-development-marketing-sales-strategy-marsa-306906,Informatique
Analyste en Cybersécurité et Cloud - France,MYSERV,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/analyste-cybersecurite-cloud-france-290071,Informatique
Développeur Web Full-Stack - Nabeul,3W WIT WEB AGENCY,Nabeul & International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-web-full-stack-nabeul-296941,Informatique
Ingénieur Réseau et Sécurité F/H - France,MYSERV,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-reseau-securite-fh-france-290067,Informatique
Développeur(se) Prestashop - Tunis,EVOLUTIVE GROUP,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/developpeurse-prestashop-tunis-279284,Informatique
Ingénieur Système et Cloud F/h - France,MYSERV,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-systeme-cloud-fh-france-290068,Informatique
Ingénieur DevOps - Tunis,LUXCARTA,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-devops-tunis-290644,Informatique
Social Media Manager - Houmet Essouk Djerba,OTOSPEX SOLUTIONS,Médenine & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/social-media-manager-houmet-essouk-djerba-293530,Informatique
Senior/Staff Software Engineer (H/F) - Charguia 2,FININFO SOLUTIONS,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/seniorstaff-software-engineer-hf-charguia-2-300904,Informatique
Développeur Senior C#/.NET - Tunis,DURBESSON CONSEILS ET SERVICES,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-senior-cnet-tunis-297471,Informatique
Stagiaire Webmaster (H/F) - Télétravail - Télétravail,WORLD WILD WEB,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/stagiaire-webmaster-hf-teletravail-teletravail-310307,Informatique
"Administrateur Systèmes et Réseaux, Niveau Middle - Menzel Bourguiba",NEAT CONSULTING SUARL,Bizerte,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/administrateur-systemes-reseaux-niveau-middle-menzel-bourguiba-296604,Informatique
AWS Managed Service Team Lead - Tunis,COLLABORATION BETTERS THE WORLD TN,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aws-managed-service-team-lead-tunis-302053,Informatique
Java Developer - Tunis,COLLABORATION BETTERS THE WORLD TN,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/java-developer-tunis-308351,Informatique
Atlassian Consultant - Cloud and Enterprise Platforms - Tunis,COLLABORATION BETTERS THE WORLD TN,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/atlassian-consultant-cloud-enterprise-platforms-tunis-302049,Informatique
Chargé(e) / Conseiller(ère) Clientèle en Assurances - Tunis,GAT ASSURANCES,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-conseillerere-clientele-assurances-tunis-308938,Informatique
DBA IMS/DB2 Z/OS(H/F),AFRICASHORE,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,2025-09-03,https://www.emploitunisie.com/offre-emploi-tunisie/dba-imsdb2-zoshf-175112,Informatique
Lead Développeur Java JEE (H/F),AFRICASHORE,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,2025-09-03,https://www.emploitunisie.com/offre-emploi-tunisie/lead-developpeur-java-jee-hf-183952,Informatique
Ingénieur Système Z/OS Middleware (H/F),AFRICASHORE,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,2025-09-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-systeme-zos-middleware-hf-175114,Informatique
Caissier - Sfax,SHOPPING CLUB,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/caissier-sfax-294216,Informatique
Commerciale - Megrine,TUNISIA SAVE PRONT,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/commerciale-megrine-306591,Informatique
Responsable Magasin Plateforme de Confection de l´Habillement - Monastir,EPIC,Monastir,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-magasin-plateforme-confection-habillement-monastir-289579,Informatique
Agent de Bureau - Tunis,REFERENCE PRINT,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-bureau-tunis-302821,Informatique
Vendeur/se - Tunis,LABO PHOTO YASSINE,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/vendeurse-tunis-292753,Informatique
Agent de Bureau - les Berges du Lac,LAC RENT A CAR,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-bureau-berges-lac-291071,Informatique
Responsable Commerciale,BUSINESS SOFT,Ariana - Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-commerciale-178375,Informatique
Technicien Maintenance - Enfidha,ROSENBERGER TUNISIA,International,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-maintenance-enfidha-278443,Informatique
Comptable Expérimenté(e) - Sousse,ALTRA CALL,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-experimentee-sousse-290191,Informatique
Marketing Digitale - Sfax,COMPTOIR SANITAIRE SFAXIEN,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/marketing-digitale-sfax-291618,Informatique
Développeur WinDev / WinDev Mobile - Nabeul,TSOFT,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-windev-windev-mobile-nabeul-293712,Informatique
Technicien Électricité – Maintenance Transformateurs et Condensateurs - Ariana,ST3E,Ariana - Ben Arous - Manouba & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-electricite-maintenance-transformateurs-condensateurs-ariana-289268,Informatique
Ingénieur d’Affaires IT Expérimenté(e) - Centre Ville Rue de Khortoum,OREL SERVICES,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-affaires-it-experimentee-centre-ville-rue-khortoum-289379,Informatique
Digital Communication & Marketing Specialist - Mahdia,TSI NETWORK,Mahdia,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/digital-communication-marketing-specialist-mahdia-294230,Informatique
Infographiste - Tunis,COFICERT,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/infographiste-tunis-297226,Informatique
Agent de Billetterie et Tourisme - Sousse,PROMIA VOYAGES,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-billetterie-tourisme-sousse-286478,Tourisme
"Aide Cuisinier, Commis de Cuisine - Rue De Palestine, Place Pasteur Lafayett",RESTAURANT LES DAUPHINS,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/aide-cuisinier-commis-cuisine-rue-palestine-place-pasteur-lafayett-290019,Tourisme
Agent Billetterie - Charguia 2,TAKE OFF TRAVEL,Ariana,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-billetterie-charguia-2-294189,Tourisme
"Agent de Voyage Confirmé pour Réservation, Billetterie et Hôtellerie - Tunis",LEONEM TRAVEL,Ariana - Ben Arous - Manouba - Nabeul - Sousse & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-voyage-confirme-reservation-billetterie-hotellerie-tunis-297360,Tourisme
